"athlete","athlete_season_id","sex","school","school_class_year","athlete_level","year","event_name","event_distance_m","time_s"
"f1d3a1b8b3a0c7e172ea3c5c58f02dc5","b4edfb51c18407153ff4ee6f278f4587","male","bbf705815c2afdb9206a92ec17a5a91c","college_fy","college",2013,"1500m",1500,251.3
"771a15ed2cd174c77812bf32f35e566e","08f57e706eaa09ab83979a8afc45040d","male","62fcadcef798b09f356688e8fe973324","hs_12","high_school",2016,"1600m",1600,274.8
"beb97818d9be45ebf04bdd195a76644e","f8092480e5fe2171304752fd76feaf7a","female","4bcbbf8bc4877ef35d5a983d45c6a293","hs_10","high_school",2013,"800m",800,131.7
"13dad81ea19c554ebe3aca945869d2de","ed668b4f04d24bacef72b7826eb2b249","female","1be29407b6209d8cad9faef6a7476ac2","college_fy","college",2015,"1000m",1000,193.2
"fbe5e73c4c2b80045f1e7d400533dc8b","72a6e0ea0586d5ff63eee410c2a894e8","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_sr","college",2017,"800m",800,152.4
"6596820d61d12c66648b79ee04ce0e37","5c1fc23572d48a4cca367342488b0663","female","848c1b4e52889546717ce70d413d1a5d","hs_12","high_school",2017,"1600m",1600,304.3
"f1a20d0948677d22a17c2d631bf77321","1d6ef0c8318771a9285fc8c7f40fd787","female","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_jr","college",2001,"1500m",1500,319.4
"2e1ed1faf9d5f78e8a4e83c8d57c7730","c780cb19dcfd096de6f560e808beb13e","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_so","college",2011,"10000m",10000,1899.8
"946ebdd1582e942395db08eec549e182","680fe27a2444d1b16c68220fb1b7d9e8","female","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_so","college",2009,"1500m",1500,324.1
"11fa1613eb0b4cf9730c71284e9bb12c","1df2ee16920dc8acc6b5f468806733d8","male","c5b8f3d94089ef757825a1a8da7d9ac1","hs_11","high_school",2013,"3200m",3200,565.4
"51d569a636d9c81aed26bc24d1dde4e6","95dfa61e383bd9f0aad37131a7fceeea","female","7ffcce5a304175e0668fe203a79dcfa6","college_so","college",2007,"mile",1609.344,367.1
"d7a5683d244a56a5d214d48610c84b05","1b4a6d749d13506b4a4de811298730c2","male","430fc81bf1de4c0f60e383a701875726","college_sr","college",2017,"800m",800,129.3
"b5992df8a98d6db6e9a6ac80b99b939f","6521b059028677681b955c35de158af1","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_sr","college",2009,"3000m",3000,556.1
"1e7107a42ffcbe68c1fc546388314d51","b0b6c4fddd48d1b6b266afdf69205857","female","4bcbbf8bc4877ef35d5a983d45c6a293","hs_12","high_school",2015,"1600m",1600,315.1
"5087abe6bf538c65b8aed87884fc5cb4","ddce0c35b39a1eb479bdf91a8259ed78","female","af1c7d851facbc0f5de8a224fe8e1794","hs_12","high_school",2014,"3200m",3200,657.6
